Epoch,Base NM,Dynamic NM
1,0.84,0.15
2,0.84,0.18
3,0.84,0.2
4,0.84,0.2
5,0.84,0.21
6,0.84,0.21
7,0.84,0.21
8,0.84,0.2
9,0.84,0.21
10,0.84,0.21
11,0.84,0.21
12,0.84,0.21
13,0.84,0.22
14,0.84,0.21
15,0.84,0.2
16,0.84,0.2
17,0.84,0.18
18,0.84,0.17
19,0.84,0.16
20,0.84,0.15
21,0.84,0.13
22,0.84,0.12
23,0.84,0.1
24,0.84,0.08
25,0.84,0.07
26,0.84,0.06
27,0.84,0.04
28,0.84,0.03
29,0.84,0.01
30,0.84,0.0
