Epoch,Base NM,Dynamic NM
1,0.41,0.07
2,0.41,0.09
3,0.41,0.1
4,0.41,0.1
5,0.41,0.1
6,0.41,0.1
7,0.41,0.1
8,0.41,0.1
9,0.41,0.11
10,0.41,0.1
11,0.41,0.1
12,0.41,0.1
13,0.41,0.11
14,0.41,0.1
15,0.41,0.1
16,0.41,0.09
17,0.41,0.09
18,0.41,0.08
19,0.41,0.08
20,0.41,0.07
21,0.41,0.06
22,0.41,0.06
23,0.41,0.05
24,0.41,0.04
25,0.41,0.03
26,0.41,0.03
27,0.41,0.02
28,0.41,0.01
29,0.41,0.01
30,0.41,0.0
