Epoch,Loss
1,1.0710602096042379
2,1.1517627028583828
3,1.1502073602437786
4,1.1004207033119322
5,1.0772061186716648
6,1.089008860703648
7,1.0922733100249116
8,1.088404753881101
9,1.0892014965776171
10,1.0883745094870476
11,1.0229989906322965
12,1.0652121436418827
13,1.050048516726848
14,1.0476347483444064
15,1.0585798722305177
16,1.0523276074590675
17,1.0802337378612992
18,1.0391119183554511
19,1.055327892070454
20,1.1200656794401889
21,1.0540096241575931
22,1.0522681916477719
23,1.0575353733443766
24,1.0563659273245263
25,1.0124112074966072
26,1.1022388778504588
27,1.0422539782766442
28,1.0229164813066294
29,1.0136859894171648
30,1.0215496112351496
