Epoch,Accuracy
1,0.517921868707209
2,0.5819573097060008
3,0.5932339911397503
4,0.6041079339508659
5,0.6089407974224729
6,0.612565445026178
7,0.616995569875151
8,0.6117599677809102
9,0.6274667740636327
10,0.6270640354409988
11,0.6314941602899719
12,0.635118807893677
13,0.635118807893677
14,0.63954893274265
15,0.6427708417237213
16,0.6407571486105518
17,0.6423681031010874
18,0.6371325010068466
19,0.6347160692710431
20,0.6375352396294804
21,0.6375352396294804
22,0.643979057591623
23,0.6451872734595248
24,0.6463954893274265
25,0.6467982279500604
26,0.6403544099879178
27,0.6419653644784535
28,0.6407571486105518
29,0.6375352396294804
30,0.6331051147805075
