Epoch,Accuracy
1,0.3383004430124849
2,0.3395086588803866
3,0.3411196133709223
4,0.3407168747482884
5,0.34474426097462746
6,0.35118807893677
7,0.3689085783326621
8,0.38542086186065244
9,0.40515505436971405
10,0.4192509061619009
11,0.4329440193314539
12,0.43576318968989125
13,0.44663713250100684
14,0.45388642770841725
15,0.4607329842931937
16,0.4695932339911397
17,0.4784534836890858
18,0.4812726540475232
19,0.490938380990737
20,0.49456302859444223
21,0.4993958920660491
22,0.5098670962545309
23,0.5171163914619412
24,0.5219492549335482
25,0.5211437776882804
26,0.5259766411598872
27,0.5267821184051551
28,0.527184857027789
29,0.5296012887635925
30,0.5291985501409585
