Epoch,AUC
1,0.6628253245192078
2,0.7037460590716553
3,0.7134846591840563
4,0.7212209741915625
5,0.7257189687156914
6,0.7338169315516119
7,0.7341009175974781
8,0.7356960051694693
9,0.7394821185951993
10,0.7449728071893172
11,0.7460479455012534
12,0.7489935507130928
13,0.7507245408761659
14,0.7521629988300625
15,0.7540128570910771
16,0.7558637003763702
17,0.7572286263896711
18,0.7584443803923295
19,0.7597010327852151
20,0.7609124702835347
21,0.7620906492951075
22,0.763010722889408
23,0.7630858566778236
24,0.7655646686400377
25,0.765963591165141
26,0.7668598532909685
27,0.7686377534851438
28,0.7699410074892514
29,0.7701503948830457
30,0.7690868200202354
