Epoch,AUC
1,0.5353700758405713
2,0.5567528693752766
3,0.5715496904263248
4,0.5836443508074672
5,0.5971389800948795
6,0.6113165914027084
7,0.6231008951816877
8,0.6349996000509412
9,0.6455107337629921
10,0.6514594550946208
11,0.6601608354634753
12,0.666459563956981
13,0.6732249263091874
14,0.6777195607059904
15,0.6824471864116053
16,0.6854281682925932
17,0.6875413274047038
18,0.6899976540325783
19,0.6941288362472724
20,0.6967074601289561
21,0.7006321446885323
22,0.7034832407696976
23,0.705346482792835
24,0.707517796553561
25,0.7087238520724715
26,0.7104546651007042
27,0.7100797902688201
28,0.7099185930685544
29,0.7117895986470172
30,0.7112468503315255
