Epoch,AUC
1,0.8750455166385547
2,0.8938255168118945
3,0.9001907958003581
4,0.9036864831696778
5,0.905951554966131
6,0.9079111259764033
7,0.9090850466809979
8,0.9106233866684077
9,0.9119040778724607
10,0.9122674127974764
11,0.9129772686887588
12,0.9143723180297936
13,0.9144118089183703
14,0.9146802851614466
15,0.9150238009144132
16,0.9154632622096205
17,0.9163068554543512
18,0.9167160033745624
19,0.9164569593007112
20,0.9165417319931042
21,0.9164631663374732
22,0.9155957092092121
23,0.9163513509518227
24,0.9155240991189226
25,0.9161748587519283
26,0.9162888038995503
27,0.9164691613783439
28,0.9174417678947495
29,0.91680889848255
30,0.916671701344886
