Epoch,AUC
1,0.5734022748932928
2,0.6460728846583308
3,0.6656143019391354
4,0.6780325410389172
5,0.6888414887190208
6,0.7003126263003349
7,0.6993723889604007
8,0.7030446851505365
9,0.7071632607422439
10,0.7134668450224181
11,0.7147309284882433
12,0.7142070588685987
13,0.7184347789127759
14,0.7196400146453641
15,0.7222795012802739
16,0.7241849528839206
17,0.7266535167007127
18,0.7288329697332946
19,0.7306766524056227
20,0.7318429196978874
21,0.7354154528294637
22,0.7349850723128742
23,0.7345791148999457
24,0.7362486112984392
25,0.7362966893436604
26,0.7374870911619269
27,0.7378213164582728
28,0.7395455532794879
29,0.7372925063037129
30,0.738632209869464
