Epoch,AUC
1,0.6733283290438239
2,0.6947731214069931
3,0.6986899332178341
4,0.7006865117653456
5,0.7042586732904765
6,0.7120571152474642
7,0.7094818297202471
8,0.710513461941506
9,0.7135059131576725
10,0.7194298936372363
11,0.7201376591608114
12,0.71920456066316
13,0.7217657202680833
14,0.7219764899540442
15,0.7247116483610343
16,0.7266708981668908
17,0.7279312041850761
18,0.7301439905196226
19,0.7314615785601531
20,0.7320430192662124
21,0.7355199852210201
22,0.7352596228637777
23,0.7350678848084858
24,0.735810774612883
25,0.7358595351743957
26,0.7369042899642597
27,0.7365855268061341
28,0.7383046291121127
29,0.7368634779349422
30,0.7384855033095904
