Epoch,Accuracy
1,0.3427305678614579
2,0.3411196133709223
3,0.3419250906161901
4,0.34313330648409185
5,0.34716069271043093
6,0.35400724929520744
7,0.3689085783326621
8,0.38542086186065244
9,0.4027386226339106
10,0.4200563834071687
11,0.4389850986709625
12,0.4478453483689086
13,0.4587192911800242
14,0.46516310914216674
15,0.4724124043495771
16,0.47643979057591623
17,0.48368908578332664
18,0.490938380990737
19,0.4977849375755135
20,0.50463149416029
21,0.5062424486508256
22,0.5130890052356021
23,0.5199355618203786
24,0.5255739025372533
25,0.5263793797825211
26,0.5291985501409585
27,0.5300040273862263
28,0.5312122432541281
29,0.5324204591220298
30,0.5320177204993959
