Epoch,Accuracy
1,0.4716069271043093
2,0.5320177204993959
3,0.5513491743858236
4,0.5730970600080548
5,0.5803463552154652
6,0.585581957309706
7,0.5875956504228755
8,0.5916230366492147
9,0.5976641159887233
10,0.6045106725734998
11,0.608135320177205
12,0.6073298429319371
13,0.6105517519130085
14,0.6077325815545711
15,0.6109544905356423
16,0.6129681836488119
17,0.617398308497785
18,0.616995569875151
19,0.616995569875151
20,0.6222311719693918
21,0.6202174788562224
22,0.6226339105920258
23,0.6222311719693918
24,0.6222311719693918
25,0.6190092629883206
26,0.6206202174788562
27,0.6182037857430528
28,0.6194120016109544
29,0.6161900926298832
30,0.6157873540072493
