Epoch,AUC
1,0.36910406569460863
2,0.37509675462346337
3,0.3779542569966736
4,0.38177753677992665
5,0.3880435744093905
6,0.3932820581950237
7,0.4011433641467148
8,0.4105750132256827
9,0.42088979153113415
10,0.4323512937978751
11,0.43960340213558136
12,0.45036550013211196
13,0.46438156600818675
14,0.47349946442242485
15,0.48734530793509956
16,0.49921185388027645
17,0.5063025904201363
18,0.5162856379275027
19,0.5267839639716863
20,0.5334796107207552
21,0.5423155099836511
22,0.5493078085570385
23,0.5561437848039745
24,0.562087475846842
25,0.5686509594655133
26,0.5750562922402556
27,0.5785115322118943
28,0.5834974041965699
29,0.5911820076988532
30,0.5955649765426512
