Epoch,AUC
1,0.8767159944620367
2,0.8934040408366586
3,0.898281601176188
4,0.9037604398448547
5,0.9064451098299133
6,0.9085848205465703
7,0.9098963076935163
8,0.9111261357413738
9,0.9116151888550064
10,0.91242171957324
11,0.9121832982734316
12,0.912660511981365
13,0.9127969434335188
14,0.9146627309012596
15,0.9156926313410678
16,0.9146886526451979
17,0.9155359752427035
18,0.9158756221491251
19,0.915119282567862
20,0.9153804634138357
21,0.9157036456106815
22,0.899878841590897
23,0.9147910561528745
24,0.9144483104628535
25,0.9164407098661973
26,0.9158418061501205
27,0.9157754363864063
28,0.9156844363843866
29,0.9164860860311326
30,0.9156871586865254
