Epoch,AUC
1,0.6538837290749867
2,0.6940075972249533
3,0.7137412239499901
4,0.7204929090142318
5,0.7292796955293936
6,0.7322651953589602
7,0.7369030450922003
8,0.7423114261113215
9,0.7458027311880089
10,0.7470794354326935
11,0.7496427687879964
12,0.7516291080380374
13,0.7541420172581413
14,0.7557228658206813
15,0.7578693316528601
16,0.7580815519934007
17,0.7598835718360925
18,0.7613277177421471
19,0.7622995585504664
20,0.7643069950274328
21,0.7649499758191336
22,0.7667329105186012
23,0.7674839281465169
24,0.7688541063035942
25,0.7699560751567117
26,0.7709250861537965
27,0.7724202843671276
28,0.7734948067855966
29,0.775166807370288
30,0.7755612594047985
