Epoch,AUC
1,0.5447577460866678
2,0.5869994805277825
3,0.6108693952517427
4,0.6233983124795475
5,0.6335404197828883
6,0.6397362295037701
7,0.6467459697108222
8,0.6524602597191902
9,0.6576649289239014
10,0.6610682888712689
11,0.6659904126530913
12,0.6701545798920383
13,0.6736646874963987
14,0.677940976600335
15,0.6808937111757158
16,0.6848946908358893
17,0.6881373732627478
18,0.6904252009133054
19,0.6931431210476737
20,0.6967410528246826
21,0.6991049824377151
22,0.7016687400980424
23,0.704518178459855
24,0.7072666509607928
25,0.7101596625893765
26,0.7122401309258455
27,0.7145001845596337
28,0.7172991897557845
29,0.7193194506724596
30,0.7209046546349261
