Epoch,Loss
1,1.40763587597345
2,1.2927908420658765
3,1.3203699378010922
4,1.2888170360222584
5,1.3413953279421496
6,1.2619433705719354
7,1.2799618099420436
8,1.2819091984210742
9,1.2951343906199408
10,1.2564055997183665
11,1.2727300038848537
12,1.3154285673263617
13,1.3600333542339849
14,1.3524245549678995
15,1.2939806056272296
16,1.284216887039664
17,1.2980858089460081
18,1.3043666386191421
19,1.320201873539246
20,1.320213367753676
21,1.285732830022066
22,1.3034096350604567
23,1.337240922105346
24,1.3405357957654453
25,1.2980719281212725
26,1.3269906935315434
27,1.3048963505944273
28,1.329263680124302
29,1.34127657160469
30,1.3089735003858145
