Epoch,Loss
1,2.1235208650582074
2,2.059993413106309
3,2.0095888648453712
4,1.967463304763161
5,1.9318414696560144
6,1.8991967596644794
7,1.8699794960175604
8,1.844031749499502
9,1.8213162014093602
10,1.7997866418637243
11,1.7803023805360951
12,1.762386263305028
13,1.7458521423443545
14,1.7300265128219794
15,1.7148024151510546
16,1.700563428241593
17,1.6865959338396728
18,1.6743900158498444
19,1.662371837799942
20,1.6513320890300658
21,1.6399054137440012
22,1.629111399873341
23,1.6182215696758098
24,1.6072273473320975
25,1.5966969846094803
26,1.5874998855149127
27,1.5789286111853942
28,1.5705394535068538
29,1.562469425625826
30,1.5549289009717986
