Epoch,Loss
1,166.1713015139103
2,161.15703123807907
3,159.10221633315086
4,157.737194865942
5,156.29556089639664
6,155.28601199388504
7,155.48514498770237
8,153.79948112368584
9,153.50739359855652
10,152.5940841138363
11,152.3249650746584
12,151.83768808841705
13,151.72158946096897
14,151.4079223871231
15,150.82351054251194
16,151.09476236999035
17,150.18161588907242
18,150.74708822369576
19,149.78713454306126
20,149.8849704414606
21,149.339297413826
22,149.67643584311008
23,149.33754669129848
24,149.24894207715988
25,149.23843786120415
26,148.52913108468056
27,148.39102783799171
28,148.36731442809105
29,148.36014667153358
30,148.48346704244614
