Epoch,AUC
1,0.7085531489885228
2,0.7350934873405456
3,0.7478333950211565
4,0.7537665008048988
5,0.7582617425510005
6,0.7630563765811681
7,0.7653647733525079
8,0.769640021767352
9,0.771636952398261
10,0.7737791645124287
11,0.7746449064619101
12,0.7778917663971608
13,0.779487392529315
14,0.7809571736572559
15,0.7833506920759905
16,0.7836475786939228
17,0.784733637348576
18,0.7865631120130656
19,0.786733021326078
20,0.7886882324938745
21,0.7895122290660017
22,0.7907754487119264
23,0.791184858075052
24,0.7921011923944533
25,0.793341896088612
26,0.7938998077031043
27,0.7954928049528104
28,0.7962339415100597
29,0.7979266183661504
30,0.7977737627253754
