Epoch,Loss
1,142.10614502429962
2,135.5050299167633
3,137.47201240062714
4,140.40874767303467
5,141.34832644462585
6,141.1794821023941
7,139.22257089614868
8,137.55157935619354
9,134.25717842578888
10,132.35167920589447
11,130.7151244878769
12,129.98683059215546
13,128.34206986427307
14,127.50094366073608
15,126.48802548646927
16,125.56411898136139
17,124.3446934223175
18,124.26051634550095
19,123.44350230693817
20,122.49547052383423
21,121.92903017997742
22,121.34707772731781
23,120.57707929611206
24,119.99816364049911
25,119.52394533157349
26,119.47592175006866
27,119.1336715221405
28,118.44663709402084
29,118.22421109676361
30,118.26175034046173
