Epoch,AUC
1,0.509534264721046
2,0.48640144101008786
3,0.5495063948381709
4,0.4733040920917866
5,0.4534645685736378
6,0.5132131267489335
7,0.5474600565006548
8,0.48050150491408716
9,0.4251440753888034
10,0.4751265461215377
11,0.47581156722004847
12,0.5244258085193311
13,0.49556733887017
14,0.5059245380650721
15,0.5331090170884333
16,0.5308712671704449
17,0.475045714442627
18,0.4975506688260327
19,0.3978099321984047
20,0.5073826073241736
21,0.542473859171098
22,0.4548298589874812
23,0.47763531840752
24,0.5084300133861905
25,0.4684716017451849
26,0.5433884568979483
27,0.5564162015751524
28,0.582517478679181
29,0.5173919642878931
30,0.5213231806793533
