Epoch,Accuracy
1,0.5207193119624707
2,0.5254104769351056
3,0.5340109460516028
4,0.544175136825645
5,0.5488663017982799
6,0.5559030492572322
7,0.5559030492572322
8,0.5527756059421423
9,0.565285379202502
10,0.563721657544957
11,0.5676309616888194
12,0.5699765441751369
13,0.5801407349491791
14,0.5707584050039093
15,0.5840500390930414
16,0.581704456606724
17,0.5762314308053167
18,0.581704456606724
19,0.5887412040656763
20,0.5746677091477717
21,0.5770132916340891
22,0.5809225957779516
23,0.5863956215793589
24,0.5879593432369038
25,0.599687255668491
26,0.5793588741204065
27,0.5879593432369038
28,0.5957779515246286
29,0.5957779515246286
30,0.5989053948397185
