Epoch,Loss
1,1.6237748420579368
2,1.5550543673327504
3,1.5266814718215733
4,1.5030477053207876
5,1.4819331794221027
6,1.4517563781669147
7,1.4515051938236312
8,1.4375833264772229
9,1.4462216209126633
10,1.4088829485005636
11,1.4262815521361605
12,1.4172517189420715
13,1.4122530976659196
14,1.4218812567353296
15,1.4132277893530376
16,1.4231641420279113
17,1.4030649283937615
18,1.3900656227474004
19,1.3876546168106485
20,1.368854730997266
21,1.3713970086385394
22,1.3554258862907158
23,1.371673058416879
24,1.3888191595415507
25,1.384322546491496
26,1.3853595494455837
27,1.369530589312639
28,1.3639616140472375
29,1.3971705333244595
30,1.3873631469770349
