Epoch,AUC
1,0.7229562347935747
2,0.7423497364044646
3,0.7524233594443471
4,0.762121538800498
5,0.7678654974851263
6,0.7722122317578171
7,0.7754424684442258
8,0.7782690833909157
9,0.7799773214605437
10,0.783185476895956
11,0.7871426834466828
12,0.7887446048571481
13,0.789714094055717
14,0.789841007151616
15,0.79099729777943
16,0.7924627734705818
17,0.793968087054631
18,0.7955546660971148
19,0.7951930746979026
20,0.7957738263558304
21,0.799082695934118
22,0.799233048624971
23,0.7997581157625151
24,0.8003079842428056
25,0.8034365061607835
26,0.8029711108515283
27,0.8054879333618542
28,0.8064298303646438
29,0.805661688863105
30,0.8078225087894171
