Epoch,AUC
1,0.5034312250799972
2,0.5323834883999738
3,0.5224086029641692
4,0.48109989494903155
5,0.4897949601361685
6,0.4580308507030363
7,0.4466800045110252
8,0.477496771360984
9,0.4746102206862315
10,0.47687268234306246
11,0.5353669707339719
12,0.5645720154176903
13,0.5033758331961161
14,0.4790927842444034
15,0.5719230232945043
16,0.573101764250145
17,0.5587621034749435
18,0.5499038035622398
19,0.546605889964662
20,0.5229129910229903
21,0.5461288309071435
22,0.5834243410214976
23,0.503084944303583
24,0.5520139040205823
25,0.5866192460338909
26,0.59665311272069
27,0.5827541458859663
28,0.640116171380774
29,0.5655155714175192
30,0.581302709816014
