Epoch,Accuracy
1,0.5799436165928312
2,0.6165928312525171
3,0.6278695126862666
4,0.6367297623842126
5,0.6363270237615787
6,0.63954893274265
7,0.6407571486105518
8,0.6451872734595248
9,0.6455900120821587
10,0.6423681031010874
11,0.6480064438179621
12,0.6524365686669351
13,0.6524365686669351
14,0.6512283527990335
15,0.653242045912203
16,0.6528393072895691
17,0.6560612162706404
18,0.657672170761176
19,0.6528393072895691
20,0.6447845348368909
21,0.6584776480064438
22,0.6520338300443013
23,0.6480064438179621
24,0.6540475231574708
25,0.653242045912203
26,0.6544502617801047
27,0.6476037051953283
28,0.6649214659685864
29,0.6504228755537657
30,0.653242045912203
