Epoch,AUC
1,0.840446426141872
2,0.872547279925616
3,0.8797351767331626
4,0.8861772364572584
5,0.8864686446174059
6,0.891785044775849
7,0.8939037688440359
8,0.895249571854143
9,0.8972516798750731
10,0.9001076897440828
11,0.8997896854303573
12,0.9004685653635225
13,0.8998240151062024
14,0.9015544902026775
15,0.9022765067434418
16,0.9023669715385373
17,0.9032001383276858
18,0.9047004789559929
19,0.9044503177808452
20,0.9045678995072952
21,0.9044392973572588
22,0.9053367522517963
23,0.9056255796470886
24,0.9055175331414921
25,0.9071987834331172
26,0.9064201878633371
27,0.9076969880859942
28,0.9078627397733976
29,0.9065564478394451
30,0.9082396607052312
