Epoch,Accuracy
1,0.21143777688280307
2,0.270237615787354
3,0.3266210229561015
4,0.36488119210632297
5,0.39790575916230364
6,0.4260974627466774
7,0.4486508256141764
8,0.4675795408779702
9,0.4780507450664519
10,0.48449456302859445
11,0.490938380990737
12,0.5006041079339508
13,0.5026178010471204
14,0.5050342327829239
15,0.5118807893677003
16,0.5102698348771647
17,0.5130890052356021
18,0.518324607329843
19,0.522351993556182
20,0.5247684252919855
21,0.5279903342730567
22,0.5296012887635925
23,0.5320177204993959
24,0.5340314136125655
25,0.5364478453483689
26,0.5392670157068062
27,0.540475231574708
28,0.5424889246878776
29,0.5416834474426098
30,0.5428916633105115
