Epoch,AUC
1,0.5475943563601562
2,0.5724054357746555
3,0.5882719732153724
4,0.5935583705907388
5,0.6032238217432531
6,0.6150154763414883
7,0.6209727122785562
8,0.6286110513429131
9,0.6357009963140028
10,0.640485171653917
11,0.6451831706384412
12,0.6494855236237937
13,0.6523690188976428
14,0.6557485920811256
15,0.6570415597800776
16,0.6594121684117098
17,0.6645425291225376
18,0.668468409380638
19,0.6712201771697336
20,0.6727165680319378
21,0.6763378030383148
22,0.6795372409186189
23,0.6837029719972214
24,0.6853118393836826
25,0.6876137516610975
26,0.69015310539726
27,0.6917980055133526
28,0.6909697296376579
29,0.6919200085645554
30,0.6939640271310454
