Epoch,Loss
1,1.064968405056969
2,1.143424023586479
3,1.1448232881532598
4,1.0869922246012118
5,1.057983738915635
6,1.085904567338602
7,1.07825235923442
8,1.0753258308271956
9,1.0734578944259179
10,1.071774921909359
11,1.0084182970033575
12,1.0496187529310386
13,1.032506156051597
14,1.0391733372369905
15,1.0435534100032953
16,1.0433790931205809
17,1.0687411096153825
18,1.015168486860602
19,1.0375629482649564
20,1.1057447312025468
21,1.0368838819607429
22,1.0403738920347498
23,1.0356549616900155
24,1.035876474686206
25,0.9869848173330127
26,1.0871801342788947
27,1.0335426636279048
28,1.0066990948357184
29,1.0072884780993399
30,1.0146706239891947
