Epoch,Loss
1,137.23898267745972
2,134.08246445655823
3,136.50129997730255
4,138.68937921524048
5,139.77128911018372
6,139.64172565937042
7,137.6421983242035
8,135.82592260837555
9,132.65138185024261
10,130.51821053028107
11,128.63891410827637
12,127.28007924556732
13,125.9071455001831
14,124.84411978721619
15,123.52748727798462
16,122.66383385658264
17,121.6530350446701
18,121.15643334388733
19,120.60817646980286
20,119.69176495075226
21,119.29281044006348
22,118.69239163398743
23,118.04494619369507
24,117.50876820087433
25,117.10123109817505
26,117.10221004486084
27,116.7288248538971
28,116.15087568759918
29,116.01985085010529
30,116.09026396274567
