Epoch,AUC
1,0.5589214978030345
2,0.5806497759227844
3,0.5959036173849697
4,0.6101269790280696
5,0.6219138944394327
6,0.6315249281894006
7,0.6410911026768806
8,0.649307189888816
9,0.6559996691705281
10,0.6631002525378472
11,0.6684437751682301
12,0.6737287155222267
13,0.6784317492419977
14,0.6824407084672209
15,0.6867020272637485
16,0.6912168613708938
17,0.6953769090120716
18,0.6990633059220464
19,0.7026009942783625
20,0.7054299748391817
21,0.7083840557125908
22,0.7107057701855894
23,0.7137195548813973
24,0.7166698255744897
25,0.7192992432549818
26,0.7216341997810463
27,0.7240547605277783
28,0.726361868655889
29,0.7283043165800901
30,0.7300837534675266
