Epoch,AUC
1,0.6378223879395715
2,0.6630546191375117
3,0.6816686371892225
4,0.7040032042312672
5,0.7148911022742435
6,0.725752225117561
7,0.7355037975424066
8,0.7443037312170193
9,0.7493521095953695
10,0.7574233200902254
11,0.7575343239833623
12,0.7596530725922939
13,0.7609306801446856
14,0.7578186302306071
15,0.7560019610490063
16,0.7544536364123156
17,0.7563942534777449
18,0.7571726889780799
19,0.7638949829374637
20,0.7678139212876993
21,0.7640438030351066
22,0.7636325844697514
23,0.7615975310554685
24,0.7648399657339359
25,0.7620012734762337
26,0.7601774372032728
27,0.7600954402807881
28,0.768800927633054
29,0.7677477065691475
30,0.7708327191290902
