Epoch,Accuracy
1,0.21385420861860652
2,0.24889246878775675
3,0.27144583165525576
4,0.2895690696737817
5,0.3072895690696738
6,0.3185662505034233
7,0.33346757954087797
8,0.34353604510672575
9,0.35199355618203787
10,0.3608538058799839
11,0.369311316955296
12,0.3761578735400725
13,0.38542086186065244
14,0.3890455094643576
15,0.39468385018123237
16,0.4003221908981071
17,0.4035440998791784
18,0.40596053161498186
19,0.409987917841321
20,0.414418042690294
21,0.41723721304873135
22,0.42327829238824005
23,0.42690293999194523
24,0.4305275875956504
25,0.4321385420861861
26,0.43495771244462345
27,0.43576318968989125
28,0.436971405557793
29,0.4401933145388643
30,0.4418042690293999
