perf,epsilon,delta,seed
0.6866840127724959,"(10.0, 0.001, 0.004759944975376129)",0.001,42
0.6866840127724959,"(10.0, 0.001, 0.005883236601948738)",0.001,42
0.6846853092288485,"(10.0, 0.0001, 0.009502045065164565)",0.0001,42
0.6894930015365409,"(10.0, 0.0001, 0.01052912175655365)",0.0001,42
0.6846853092288485,"(10.0, 0.0001, 0.004779874160885811)",0.0001,42
0.6870891553826947,"(10.0, 0.0001, 0.00665721446275711)",0.0001,42
0.6926447109382502,"(5.0, 0.1, 0.017946037650108337)",0.1,42
0.6842801666186498,"(5.0, 0.1, 0.01855316311120987)",0.1,42
0.6846853092288485,"(5.0, 0.1, 0.00930405706167221)",0.1,42
0.6922395683280514,"(5.0, 0.1, 0.011416199803352355)",0.1,42
0.6894930015365409,"(5.0, 0.01, 0.02109387218952179)",0.01,42
0.7003103092288485,"(5.0, 0.01, 0.025176805257797242)",0.01,42
0.6866840127724959,"(5.0, 0.01, 0.010706857591867448)",0.01,42
0.6894930015365409,"(5.0, 0.01, 0.016137658059597014)",0.01,42
0.6842801666186498,"(5.0, 0.001, 0.027603644132614135)",0.001,42
0.6926447109382502,"(5.0, 0.001, 0.02861364185810089)",0.001,42
0.6894930015365409,"(5.0, 0.001, 0.014549621939659118)",0.001,42
0.6870891553826947,"(5.0, 0.001, 0.019131952524185182)",0.001,42
0.6894930015365409,"(5.0, 0.0001, 0.023807066679000854)",0.0001,42
0.6950485570920965,"(5.0, 0.0001, 0.0336459219455719)",0.0001,42
0.6926447109382502,"(5.0, 0.0001, 0.016900300979614258)",0.0001,42
0.6870891553826947,"(5.0, 0.0001, 0.02180412709712982)",0.0001,42
0.6842801666186498,"(1.0, 0.1, 0.18637298047542572)",0.1,42
0.6870891553826947,"(1.0, 0.1, 0.20922371745109558)",0.1,42
0.6890878589263421,"(1.0, 0.1, 0.09369803965091705)",0.1,42
0.6950974743109575,"(1.0, 0.1, 0.128205806016922)",0.1,42
0.6894930015365409,"(1.0, 0.01, 0.31578296422958374)",0.01,42
0.6818763204648036,"(1.0, 0.01, 0.3568686246871948)",0.01,42
0.6870891553826947,"(1.0, 0.01, 0.17032982409000397)",0.01,42
0.6954401949486219,"(1.0, 0.01, 0.254932701587677)",0.01,42
0.69945110678959,"(1.0, 0.001, 0.4582218825817108)",0.001,42
0.6870891553826947,"(1.0, 0.001, 0.47408437728881836)",0.001,42
0.6950485570920965,"(1.0, 0.001, 0.24116550385951996)",0.001,42
0.700653029866513,"(1.0, 0.001, 0.32807159423828125)",0.001,42
0.7030568760203592,"(1.0, 0.0001, 0.5384967923164368)",0.0001,42
0.6783818904254297,"(1.0, 0.0001, 0.6135615706443787)",0.0001,42
0.6687665058100452,"(1.0, 0.0001, 0.2733345329761505)",0.0001,42
0.7009957505041774,"(1.0, 0.0001, 0.36879003047943115)",0.0001,42
0.7082697109382502,"(0.1, 0.1, 5.262545943260193)",0.1,42
0.6963618193604149,"(0.1, 0.1, 5.20656943321228)",0.1,42
0.6815335998271391,"(0.1, 0.1, 2.714720368385315)",0.1,42
0.7023090127724959,"(0.1, 0.1, 3.5808345675468445)",0.1,42
0.6794724743109575,"(0.1, 0.01, 18.52247953414917)",0.01,42
0.6811908791894747,"(0.1, 0.01, 18.930771350860596)",0.01,42
0.711483842312494,"(0.1, 0.01, 10.223441123962402)",0.01,42
0.6802203375588207,"(0.1, 0.01, 11.937652826309204)",0.01,42
0.6371248679535196,"(0.1, 0.001, 29.56505060195923)",0.001,42
0.5536534860270815,"(0.1, 0.001, 33.30893516540527)",0.001,42
0.6837636848170555,"(0.1, 0.001, 16.813148260116577)",0.001,42
0.6643639561125516,"(0.1, 0.001, 20.52922248840332)",0.001,42
0.5649908767886296,"(0.1, 0.0001, 45.059266090393066)",0.0001,42
0.6452262196293095,"(0.1, 0.0001, 47.79553413391113)",0.0001,42
0.7147468909055988,"(0.1, 0.0001, 25.58173179626465)",0.0001,42
0.6874489820416787,"(0.1, 0.0001, 34.92503643035889)",0.0001,42
