Epoch,Accuracy
1,0.5199374511336982
2,0.5238467552775606
3,0.5308835027365129
4,0.5402658326817826
5,0.5496481626270524
6,0.5598123534010946
7,0.5559030492572322
8,0.5535574667709148
9,0.562157935887412
10,0.5559030492572322
11,0.5676309616888194
12,0.5707584050039093
13,0.5762314308053167
14,0.5715402658326818
15,0.5793588741204065
16,0.5824863174354965
17,0.5731039874902267
18,0.5824863174354965
19,0.5840500390930414
20,0.5684128225175918
21,0.5762314308053167
22,0.5793588741204065
23,0.5871774824081314
24,0.5895230648944488
25,0.5910867865519938
26,0.5770132916340891
27,0.5895230648944488
28,0.5903049257232212
29,0.5942142298670836
30,0.5918686473807663
