Epoch,Loss
1,137.2596139907837
2,133.6919516324997
3,136.09523212909698
4,138.6259878873825
5,139.713250041008
6,139.4705867767334
7,137.49091362953186
8,135.83193266391754
9,132.71509325504303
10,130.50868046283722
11,128.72331547737122
12,127.73188984394073
13,126.37969863414764
14,125.48011147975922
15,124.28206539154053
16,123.43013620376587
17,122.3192925453186
18,121.99394845962524
19,121.36356103420258
20,120.53682029247284
21,120.03408372402191
22,119.36390566825867
23,118.71580564975739
24,118.17940270900726
25,117.86651146411896
26,117.7983648777008
27,117.46852028369904
28,116.91642844676971
29,116.7303866147995
30,116.7615122795105
