Epoch,Accuracy
1,0.342327829238824
2,0.3411196133709223
3,0.3419250906161901
4,0.3427305678614579
5,0.3463552154651631
6,0.3532017720499396
7,0.3685058397100282
8,0.38219895287958117
9,0.3995167136528393
10,0.414418042690294
11,0.43133306484091827
12,0.44542891663310513
13,0.45791381393475633
14,0.46435763189689894
15,0.4699959726137737
16,0.4752315747080145
17,0.4800644381796214
18,0.4873137333870318
19,0.49335481272654047
20,0.5014095851792187
21,0.50463149416029
22,0.5094643576318969
23,0.5130890052356021
24,0.518324607329843
25,0.5243656866693516
26,0.5275875956504229
27,0.527184857027789
28,0.5291985501409585
29,0.5300040273862263
30,0.5316149818767619
