Epoch,AUC
1,0.6475991152765013
2,0.678260193960825
3,0.6927243295376312
4,0.7010709936309474
5,0.7071659743892476
6,0.71150609460588
7,0.7152763541889327
8,0.7181493985797712
9,0.7209349303561265
10,0.7235203427346525
11,0.7260848761338903
12,0.7281809015276266
13,0.7302385628126529
14,0.732251209371454
15,0.7342725320443275
16,0.735874119706859
17,0.7376416262607006
18,0.7389230106805901
19,0.7406063680764295
20,0.7418940023301608
21,0.7431820412174647
22,0.7442737014206579
23,0.7455317878443175
24,0.7467735224113141
25,0.7478185936363648
26,0.7490647330218297
27,0.7500062584044561
28,0.7510904666046697
29,0.7520354293255892
30,0.7528969722780077
