Epoch,Loss
1,1.1029971625489867
2,1.0468588136340418
3,1.0864389609134784
4,1.1294109460615944
5,1.0916231931234543
6,1.0462876048006053
7,1.0808289029152716
8,1.0953077887817693
9,1.1036169934403253
10,1.1033575444411634
11,1.1577058014597532
12,1.1508214221138615
13,1.1209409002963224
14,1.1423409848216923
15,1.0879938682603874
16,1.1359865445471817
17,1.106757615580048
18,1.0962082032023974
19,1.140676367180342
20,1.1483438873402863
21,1.1198040381178807
22,1.147387962680575
23,1.1719025570121568
24,1.163382215738483
25,1.1413508930459817
26,1.1582641067497426
27,1.159490987041017
28,1.1730798039238746
29,1.1354056051506298
30,1.1409532328058352
