Epoch,Loss
1,1.2941614097687675
2,1.2306435314168027
3,1.1884288088803743
4,1.160409613267065
5,1.1410530236104768
6,1.124787592254084
7,1.1128736316831527
8,1.1025680045395554
9,1.093500977572843
10,1.087093486275125
11,1.081515272862283
12,1.0762051163100004
13,1.0720420123265066
14,1.0689042311706423
15,1.0663697889207209
16,1.0632473885593607
17,1.0613665531350822
18,1.059094901379428
19,1.0575046288118966
20,1.0560439522607519
21,1.055362964673747
22,1.0544009780958352
23,1.0539891463970188
24,1.0533747086308727
25,1.0536438629345748
26,1.0531143212430267
27,1.0531761375976039
28,1.0526340464486845
29,1.0523730944245004
30,1.0521999939146034
