Epoch,Accuracy
1,0.5113369820172009
2,0.5293197810789679
3,0.5316653635652854
4,0.5410476935105551
5,0.5332290852228303
6,0.5488663017982799
7,0.5535574667709148
8,0.5527756059421423
9,0.5449569976544175
10,0.5613760750586395
11,0.544175136825645
12,0.5551211884284597
13,0.5613760750586395
14,0.5676309616888194
15,0.565285379202502
16,0.5707584050039093
17,0.565285379202502
18,0.5754495699765442
19,0.5738858483189992
20,0.5777951524628616
21,0.5777951524628616
22,0.5770132916340891
23,0.5715402658326818
24,0.5863956215793589
25,0.5793588741204065
26,0.5887412040656763
27,0.5863956215793589
28,0.5879593432369038
29,0.5723221266614542
30,0.5910867865519938
