Epoch,Accuracy
1,0.5136825645035183
2,0.5340109460516028
3,0.544175136825645
4,0.547302580140735
5,0.544175136825645
6,0.5512118842845973
7,0.5629397967161845
8,0.5676309616888194
9,0.562157935887412
10,0.5566849100860047
11,0.5731039874902267
12,0.5684128225175918
13,0.5613760750586395
14,0.5684128225175918
15,0.5723221266614542
16,0.5676309616888194
17,0.5590304925723222
18,0.5754495699765442
19,0.5895230648944488
20,0.5699765441751369
21,0.5715402658326818
22,0.5793588741204065
23,0.6043784206411259
24,0.6075058639562158
25,0.5777951524628616
26,0.5723221266614542
27,0.5863956215793589
28,0.5926505082095387
29,0.5691946833463644
30,0.6200156372165755
