Epoch,AUC
1,0.7983149516674793
2,0.8269634608151732
3,0.8429952684621963
4,0.8526022433251008
5,0.8527325251375046
6,0.8564517144228334
7,0.8610275899823032
8,0.8634875573022367
9,0.866208811657971
10,0.8683085663138757
11,0.8708748754471416
12,0.8736842758829847
13,0.871373540179897
14,0.8775959906713258
15,0.8738257396432922
16,0.8789743725101526
17,0.8775463246751841
18,0.8787560597854762
19,0.8784244678609513
20,0.8809379713534655
21,0.8816715121052386
22,0.8824866082823349
23,0.8843497079263107
24,0.8828378248514602
25,0.8855009572514095
26,0.8864640972064196
27,0.8885909566438681
28,0.8905615988830349
29,0.8912102514984852
30,0.8904872337390467
