Epoch,Accuracy
1,0.47603705195328233
2,0.5412807088199758
3,0.5638340716874748
4,0.5771244462343939
5,0.5839710028191704
6,0.5879983890455095
7,0.5956504228755538
8,0.5980668546113572
9,0.6008860249697946
10,0.6065243656866693
11,0.6053161498187676
12,0.6061216270640355
13,0.6129681836488119
14,0.6129681836488119
15,0.6133709222714459
16,0.6149818767619815
17,0.6194120016109544
18,0.6165928312525171
19,0.6190092629883206
20,0.6230366492146597
21,0.6206202174788562
22,0.6286749899315345
23,0.6250503423278292
24,0.6246476037051953
25,0.6258558195730971
26,0.6266612968183649
27,0.626258558195731
28,0.6270640354409988
29,0.6222311719693918
30,0.6242448650825614
