Epoch,AUC
1,0.7141092737191796
2,0.7302813149668326
3,0.739085735880689
4,0.7454423372729269
5,0.7499603662725436
6,0.7550276919143453
7,0.7582943869898635
8,0.7613758211156365
9,0.7644561037892958
10,0.7670461514510916
11,0.7678363781109718
12,0.770304729465656
13,0.7725192234518886
14,0.7734786042879104
15,0.7756675364025465
16,0.7768011860435168
17,0.7777335991401627
18,0.7795926769777015
19,0.7804666697128235
20,0.7812278407022204
21,0.7827743414490218
22,0.7836574032464265
23,0.784992572743731
24,0.7859718108159788
25,0.7868825784255253
26,0.787271408509762
27,0.788130735518194
28,0.7896706581435549
29,0.7902176091843114
30,0.7917658026628782
