Epoch,Accuracy
1,0.5011727912431587
2,0.5129007036747459
3,0.5160281469898358
4,0.5175918686473807
5,0.5191555903049258
6,0.5293197810789679
7,0.524628616106333
8,0.5285379202501954
9,0.5285379202501954
10,0.5324472243940579
11,0.5261923377638781
12,0.5340109460516028
13,0.5410476935105551
14,0.5347928068803753
15,0.5410476935105551
16,0.5433932759968726
17,0.5418295543393276
18,0.5496481626270524
19,0.5433932759968726
20,0.5402658326817826
21,0.5480844409695075
22,0.5488663017982799
23,0.5504300234558248
24,0.5512118842845973
25,0.5480844409695075
26,0.547302580140735
27,0.5480844409695075
28,0.5480844409695075
29,0.5488663017982799
30,0.5512118842845973
