Epoch,Loss
1,1.5024531785394222
2,1.4056714188414046
3,1.388591115051251
4,1.341721743309253
5,1.3622973431179324
6,1.343331170571796
7,1.3781681470077844
8,1.4127157360519367
9,1.3380122226042177
10,1.3478734843729967
11,1.3650561665941332
12,1.3397577966214955
13,1.3573613001654046
14,1.3382597132839122
15,1.4010196621745428
16,1.3391361280981686
17,1.3608950483333282
18,1.3337914491679175
19,1.355353427807074
20,1.322129089578812
21,1.3277917421252987
22,1.3738822126119692
23,1.3545606162967674
24,1.3785960841361333
25,1.3600123661254808
26,1.339842028618819
27,1.3592655752581835
28,1.3627562105919726
29,1.3499042758814903
30,1.3706497979701837
