Epoch,Accuracy
1,0.506645817044566
2,0.5230648944487881
3,0.5254104769351056
4,0.5183737294761532
5,0.5105551211884285
6,0.5113369820172009
7,0.5160281469898358
8,0.5379202501954652
9,0.5269741985926505
10,0.5238467552775606
11,0.5144644253322909
12,0.5324472243940579
13,0.5222830336200156
14,0.5136825645035183
15,0.5410476935105551
16,0.5426114151681001
17,0.5136825645035183
18,0.5230648944487881
19,0.5410476935105551
20,0.5293197810789679
21,0.5301016419077405
22,0.5418295543393276
23,0.5308835027365129
24,0.5324472243940579
25,0.527756059421423
26,0.5152462861610634
27,0.5324472243940579
28,0.5301016419077405
29,0.5129007036747459
30,0.5285379202501954
