perf,e,d,seed
0.6846853092288485,30.0,0.1,42
0.6870891553826947,30.0,0.1,42
0.6842801666186498,30.0,0.1,42
0.6870891553826947,30.0,0.1,42
0.6894930015365409,30.0,0.01,42
0.6898357221742053,30.0,0.01,42
0.6926447109382502,30.0,0.01,42
0.6842801666186498,30.0,0.01,42
0.6846853092288485,30.0,0.001,42
0.6870891553826947,30.0,0.001,42
0.6842801666186498,30.0,0.001,42
0.6842801666186498,30.0,0.001,42
0.6898357221742053,30.0,0.0001,42
0.6926447109382502,30.0,0.0001,42
0.6846853092288485,30.0,0.0001,42
0.6846853092288485,30.0,0.0001,42
0.6842801666186498,20.0,0.1,42
0.6846853092288485,20.0,0.1,42
0.6842801666186498,20.0,0.1,42
0.6818763204648036,20.0,0.1,42
0.6842801666186498,20.0,0.01,42
0.6950485570920965,20.0,0.01,42
0.6846853092288485,20.0,0.01,42
0.6842801666186498,20.0,0.01,42
0.6870891553826947,20.0,0.001,42
0.6894930015365409,20.0,0.001,42
0.6846853092288485,20.0,0.001,42
0.6842801666186498,20.0,0.001,42
0.6870891553826947,20.0,0.0001,42
0.6842801666186498,20.0,0.0001,42
0.6842801666186498,20.0,0.0001,42
0.6842801666186498,20.0,0.0001,42
0.6866840127724959,10.0,0.1,42
0.6842801666186498,10.0,0.1,42
0.6846853092288485,10.0,0.1,42
0.6950485570920965,10.0,0.1,42
0.6870891553826947,10.0,0.01,42
0.6870891553826947,10.0,0.01,42
0.6846853092288485,10.0,0.01,42
0.6842801666186498,10.0,0.01,42
0.6842801666186498,10.0,0.001,42
0.6846853092288485,10.0,0.001,42
0.6842801666186498,10.0,0.001,42
0.6870891553826947,10.0,0.001,42
0.6846853092288485,10.0,0.0001,42
0.6870891553826947,10.0,0.0001,42
0.6898357221742053,10.0,0.0001,42
0.6870891553826947,10.0,0.0001,42
0.6842801666186498,1.0,0.1,42
0.6818763204648036,1.0,0.1,42
0.6846853092288485,1.0,0.1,42
0.6870891553826947,1.0,0.1,42
0.6870891553826947,1.0,0.01,42
0.6870891553826947,1.0,0.01,42
0.6846853092288485,1.0,0.01,42
0.6842801666186498,1.0,0.01,42
0.6870891553826947,1.0,0.001,42
0.6870891553826947,1.0,0.001,42
0.6842801666186498,1.0,0.001,42
0.6842801666186498,1.0,0.001,42
0.6846853092288485,1.0,0.0001,42
0.6866840127724959,1.0,0.0001,42
0.6870891553826947,1.0,0.0001,42
0.6898357221742053,1.0,0.0001,42
