Epoch,AUC
1,0.45007280552804846
2,0.487794968297678
3,0.5303696558447788
4,0.4940842718943664
5,0.4807432361287784
6,0.42087937365679856
7,0.5384886435855296
8,0.46384857619469666
9,0.4998825548358853
10,0.5497602820819167
11,0.4986833551229624
12,0.5133162987418364
13,0.522743119471727
14,0.5104704623173728
15,0.5523306473319515
16,0.4456539101824273
17,0.500988853222891
18,0.44129030689496795
19,0.42599072757868506
20,0.4697771349548848
21,0.5884794686263126
22,0.5068354486293565
23,0.5666977230053923
24,0.5027052324910943
25,0.46162852185810493
26,0.5199197811614403
27,0.4920965002319806
28,0.46685750274318844
29,0.5392844206183474
30,0.39554084333029105
