Epoch,Accuracy
1,0.25654450261780104
2,0.29883205799436163
3,0.31614981876761983
4,0.3282319774466371
5,0.33709222714458315
6,0.3419250906161901
7,0.3495771244462344
8,0.3572291582762787
9,0.3600483286347161
10,0.36689488521949254
11,0.3729359645590012
12,0.3789770438985099
13,0.38219895287958117
14,0.38582360048328634
15,0.38622633910592025
16,0.3894482480869915
17,0.39428111155859846
18,0.39750302053966974
19,0.4003221908981071
20,0.4015304067660089
21,0.40555779299234795
22,0.4067660088602497
23,0.4095851792186871
24,0.4115988723318566
25,0.41320982682239227
26,0.41643173580346354
27,0.4204591220298027
28,0.4204591220298027
29,0.4224728151429722
30,0.4216673378977044
