Epoch,Loss
1,1.3721470429246736
2,1.2868813058657045
3,1.2347146895735222
4,1.1923870773311702
5,1.1634591582979048
6,1.1401310834780254
7,1.1198283510808371
8,1.1037096902203802
9,1.0902390309942245
10,1.0775137436492448
11,1.0684017024532344
12,1.062084638112406
13,1.0548224819647884
14,1.0483144654064462
15,1.0425710851462024
16,1.037664914009998
17,1.0333834754199698
18,1.029192634212309
19,1.0254424170090688
20,1.0225757798522221
21,1.0202346702307998
22,1.0190715001746022
23,1.0177017008074565
24,1.016388721863118
25,1.0149910716082176
26,1.0139803977754547
27,1.0126093674955003
28,1.0117998407444422
29,1.0104859875365102
30,1.0101112934460017
