Epoch,AUC
1,0.5651657693948702
2,0.7541221089705862
3,0.7397553636208634
4,0.7486773885806774
5,0.754811767913074
6,0.6938593167934037
7,0.7038534352356007
8,0.6572635210707303
9,0.7220767383789553
10,0.7181181170228013
11,0.673877292585241
12,0.7028454299192519
13,0.6832325248180444
14,0.7245115213959828
15,0.725548702759594
16,0.7563112381767196
17,0.694777666884821
18,0.7208957570768932
19,0.7183179374936688
20,0.7165194921766544
21,0.6408336786064035
22,0.6837844429489691
23,0.6941258260309062
24,0.7079355506365178
25,0.7363247627978078
26,0.6588356038258099
27,0.7196748547402398
28,0.7030370839545812
29,0.6526171146984793
30,0.6893051133421214
