Epoch,Loss
1,141.8270719051361
2,134.50187599658966
3,136.24966883659363
4,138.94179904460907
5,141.01825487613678
6,140.85767471790314
7,138.74772095680237
8,136.38620221614838
9,134.2489993572235
10,131.9996463060379
11,129.8933688402176
12,128.6160066127777
13,127.16452550888062
14,126.16282802820206
15,125.51874834299088
16,124.98278057575226
17,123.85783529281616
18,123.0721293091774
19,122.19284564256668
20,121.09159499406815
21,120.6413631439209
22,120.26350861787796
23,119.67144614458084
24,119.12753373384476
25,118.90272986888885
26,118.08254379034042
27,117.75147444009781
28,117.8730696439743
29,117.83102810382843
30,117.73298472166061
