Epoch,Loss
1,1.8342378426116654
2,1.8683316327370418
3,1.7354799263236314
4,1.6632475016148782
5,1.6268940538924115
6,1.557775464885618
7,1.561690445153693
8,1.5983149414815299
9,1.6239720199360657
10,1.5870776197577119
11,1.5810816234222977
12,1.5901329207218706
13,1.5899515566785538
14,1.5905160619710368
15,1.5772926239923177
16,1.6165327973006667
17,1.5909703109612927
18,1.5700220794769915
19,1.5768220538436237
20,1.532473687870196
21,1.5707244113045644
22,1.555787845143761
23,1.5481054358457396
24,1.5631114623741522
25,1.5638424488406386
26,1.5941555087623027
27,1.5730155603663845
28,1.5401259304965353
29,1.5772582436587317
30,1.6007022812536442
