Epoch,AUC
1,0.7379489183581498
2,0.7546630873005361
3,0.7631130250551742
4,0.7719102168620879
5,0.7776408559894529
6,0.7804386268726486
7,0.7829072761962275
8,0.784628409367552
9,0.7860178232000494
10,0.7885159101710704
11,0.7927181606166256
12,0.7949546377789054
13,0.7950435856227291
14,0.7938107331116697
15,0.7958251580437732
16,0.7975262536933632
17,0.7990436347815142
18,0.8006268880018412
19,0.8001856626611777
20,0.8009040786877405
21,0.8038256400927525
22,0.8044059903580408
23,0.8047467449463152
24,0.8058870981715842
25,0.8094334655940406
26,0.8096226415787721
27,0.8109623802384914
28,0.8120829695942571
29,0.8107866127940817
30,0.8129905939058173
