Epoch,AUC
1,0.714457107011283
2,0.7407919892413165
3,0.7521896412620028
4,0.7589031379024227
5,0.7623792700712373
6,0.7677941084447658
7,0.7698406197522176
8,0.7738830791467564
9,0.7759469567848631
10,0.7775314691391562
11,0.7785968346002009
12,0.7818292445889371
13,0.783319758391369
14,0.7847556783363081
15,0.7872858517278245
16,0.787691180545923
17,0.7884253995904047
18,0.7902236080150578
19,0.7900795914554773
20,0.7921463780439142
21,0.7932584734664857
22,0.7940361877609079
23,0.7946575006266114
24,0.7951758674471235
25,0.7967483318716694
26,0.7971762040484442
27,0.7988305523799076
28,0.7997313221280411
29,0.8014472007956828
30,0.8011279792333296
