Epoch,Loss
1,1.1061162476990725
2,1.058420633691843
3,1.1206819923526146
4,1.1309531196380984
5,1.1190013658077667
6,1.1027142179487643
7,1.1280771465950221
8,1.127055273380384
9,1.1274133661559451
10,1.1043551822860693
11,1.164597787551343
12,1.1138114814556979
13,1.1614570259768298
14,1.154972855890049
15,1.1430931422186605
16,1.1132255084725262
17,1.1624930099736348
18,1.107217569990583
19,1.1268050638002003
20,1.1163196584225819
21,1.115742455198021
22,1.1313776035528802
23,1.146346255985436
24,1.1300341315899536
25,1.1276932094505376
26,1.1155389874031807
27,1.092132354593538
28,1.1071534750981662
29,1.101836214641559
30,1.082568925558542
