Epoch,Accuracy
1,0.3502736512900704
2,0.3502736512900704
3,0.009382329945269743
4,0.13995308835027365
5,0.49335418295543393
6,0.35496481626270526
7,0.1931196247068022
8,0.43080531665363564
9,0.35105551211884284
10,0.5003909304143862
11,0.4519155590304926
12,0.5019546520719312
13,0.2986708365910868
14,0.5019546520719312
15,0.3815480844409695
16,0.42689601250977327
17,0.3502736512900704
18,0.44878811571540267
19,0.13995308835027365
20,0.3502736512900704
21,0.49726348709929635
22,0.5003909304143862
23,0.3565285379202502
24,0.3862392494136044
25,0.3502736512900704
26,0.36200156372165754
27,0.23455824863174354
28,0.49726348709929635
29,0.34323690383111805
30,0.4949179046129789
