Epoch,AUC
1,0.7254494785945842
2,0.7453794430136471
3,0.7554186829719838
4,0.7648633569083153
5,0.771435295516314
6,0.775034223005478
7,0.7783384145186653
8,0.7811152963135419
9,0.7825739553187089
10,0.7855194483601196
11,0.7898890962097116
12,0.791594534130833
13,0.7920399010904827
14,0.79151254894495
15,0.7928993830792918
16,0.7947371674277951
17,0.7961892617712503
18,0.7979383825037141
19,0.7973727725069698
20,0.7981555984241595
21,0.8014518137442952
22,0.8019051266863099
23,0.8021128538155167
24,0.8029633087981671
25,0.8061220399301571
26,0.8059527572031768
27,0.8076795834762531
28,0.8088779384832196
29,0.8079091487395188
30,0.8098659294281917
