,0
0,0.5319191277609085
1,0.4702927762966427
2,0.5418470256087752
3,0.6044429754063826
4,0.5991930842659662
5,0.58695266393326
6,0.6249484969224793
7,0.46453383089835115
8,0.5069645155159
9,0.5385244084734332
10,0.5340893871540212
11,0.4598387742024157
12,0.513392605210932
13,0.5660431794834081
14,0.5925851783299293
15,0.6059981092161991
16,0.6439188814989842
17,0.5552727786416752
18,0.5722923220698509
19,0.5350013082440123
20,0.5706733335171953
21,0.5249420214517779
22,0.5882082521693915
23,0.579106721853297
24,0.5789310797522433
25,0.5344963307010437
26,0.512371535309376
27,0.5032316261815607
28,0.5347802030372227
29,0.5006787241506574
