,0
0,0.3652593171748762
1,0.3434975241073756
2,0.4152984102163148
3,0.4152984102163148
4,0.3552254365389627
5,0.3652593171748762
6,0.42533229085222835
7,0.4152984102163148
8,0.41204065676309615
9,0.39027886369559545
10,0.4253322908522283
11,0.39027886369559556
12,0.41529841021631486
13,0.3652593171748762
14,0.3652593171748762
15,0.4205108157414646
16,0.43940578577013284
17,0.30818347667448526
18,0.4503518373729476
19,0.3652593171748762
20,0.41529841021631486
21,0.4753713838936669
22,0.3302058900182434
23,0.39027886369559556
24,0.41529841021631486
25,0.4152984102163148
26,0.3652593171748762
27,0.39027886369559556
28,0.39027886369559545
29,0.3802449830596821
